年齢,男,女,計
0,287,255,542
1,323,294,617
2,319,272,591
3,315,297,612
4,355,298,653
5,357,308,665
6,366,329,695
7,372,368,740
8,388,342,730
9,392,359,751
10,373,357,730
11,391,347,738
12,412,343,755
13,428,393,821
14,424,427,851
15,439,418,857
16,457,417,874
17,470,390,860
18,422,452,874
19,429,422,851
20,453,419,872
21,480,416,896
22,394,397,791
23,400,372,772
24,435,400,835
25,356,329,685
26,391,349,740
27,361,364,725
28,424,370,794
29,364,350,714
30,378,333,711
31,355,356,711
32,380,335,715
33,389,365,754
34,404,371,775
35,444,411,855
36,457,443,900
37,453,401,854
38,448,436,884
39,491,476,967
40,567,487,1054
41,530,471,1001
42,534,469,1003
43,569,538,1107
44,583,547,1130
45,627,594,1221
46,658,623,1281
47,728,643,1371
48,779,741,1520
49,762,739,1501
50,772,763,1535
51,762,713,1475
52,710,695,1405
53,643,614,1257
54,600,595,1195
55,594,574,1168
56,545,475,1020
57,492,490,982
58,578,572,1150
59,497,488,985
60,495,510,1005
61,455,487,942
62,494,514,1008
63,508,513,1021
64,495,530,1025
65,467,555,1022
66,509,516,1025
67,483,547,1030
68,499,557,1056
69,533,603,1136
70,586,606,1192
71,577,688,1265
72,660,747,1407
73,696,843,1539
74,782,884,1666
75,792,966,1758
76,699,856,1555
77,367,460,827
78,482,559,1041
79,481,628,1109
80,462,498,960
81,514,635,1149
82,342,536,878
83,306,449,755
84,238,387,625
85,247,387,634
86,217,366,583
87,243,457,700
88,157,328,485
89,126,321,447
90,116,287,403
91,101,244,345
92,71,222,293
93,36,173,209
94,36,160,196
95,32,127,159
96,24,115,139
97,14,75,89
98,6,35,41
99,7,42,49
100,2,18,20
101,2,16,18
102,3,11,14
103,,5,5
104,,4,4
105,,,
106,,1,1
107,,,
108,,,
109,,,
