年齢,男,女,計
0,264,266,530
1,334,267,601
2,313,293,606
3,318,262,580
4,341,323,664
5,363,295,658
6,356,324,680
7,375,358,733
8,369,335,704
9,396,365,761
10,390,347,737
11,387,369,756
12,397,329,726
13,411,390,801
14,433,413,846
15,425,423,848
16,477,415,892
17,455,394,849
18,427,439,866
19,420,414,834
20,465,435,900
21,458,407,865
22,440,396,836
23,399,371,770
24,387,395,782
25,398,335,733
26,346,343,689
27,383,366,749
28,389,376,765
29,412,338,750
30,361,359,720
31,372,339,711
32,368,343,711
33,381,358,739
34,391,355,746
35,450,375,825
36,434,440,874
37,470,416,886
38,458,418,876
39,457,449,906
40,548,500,1048
41,546,470,1016
42,528,469,997
43,556,528,1084
44,561,562,1123
45,630,544,1174
46,633,617,1250
47,709,633,1342
48,790,702,1492
49,766,755,1521
50,778,789,1567
51,769,714,1483
52,720,711,1431
53,668,644,1312
54,606,568,1174
55,618,613,1231
56,604,548,1152
57,444,414,858
58,584,574,1158
59,495,520,1015
60,513,487,1000
61,479,512,991
62,455,503,958
63,520,518,1038
64,486,510,996
65,468,552,1020
66,480,538,1018
67,500,502,1002
68,504,573,1077
69,502,573,1075
70,587,600,1187
71,574,695,1269
72,614,704,1318
73,684,844,1528
74,755,841,1596
75,772,922,1694
76,771,1008,1779
77,441,503,944
78,423,481,904
79,499,635,1134
80,447,529,976
81,503,596,1099
82,400,555,955
83,307,474,781
84,241,386,627
85,232,400,632
86,228,364,592
87,236,419,655
88,177,357,534
89,110,323,433
90,124,301,425
91,103,221,324
92,66,233,299
93,47,182,229
94,33,150,183
95,29,126,155
96,22,110,132
97,14,80,94
98,8,44,52
99,5,40,45
100,2,14,16
101,2,18,20
102,2,10,12
103,,6,6
104,,3,3
105,,2,2
106,,,
107,,,
108,,,
109,,,
