年齢,男,女,計
0,271,261,532
1,323,272,595
2,321,296,617
3,318,267,585
4,337,315,652
5,374,300,674
6,351,311,662
7,376,369,745
8,382,337,719
9,397,362,759
10,374,358,732
11,397,359,756
12,396,332,728
13,424,397,821
14,432,409,841
15,409,435,844
16,484,406,890
17,458,393,851
18,418,442,860
19,433,407,840
20,453,441,894
21,465,401,866
22,431,410,841
23,390,358,748
24,402,396,798
25,383,331,714
26,352,352,704
27,392,357,749
28,392,387,779
29,414,333,747
30,355,354,709
31,367,353,720
32,372,332,704
33,378,366,744
34,388,356,744
35,467,392,859
36,424,420,844
37,475,419,894
38,462,428,890
39,452,461,913
40,557,503,1060
41,540,465,1005
42,529,469,998
43,560,529,1089
44,581,550,1131
45,608,567,1175
46,650,607,1257
47,720,642,1362
48,770,702,1472
49,778,763,1541
50,785,788,1573
51,774,710,1484
52,699,707,1406
53,660,632,1292
54,608,587,1195
55,605,605,1210
56,598,517,1115
57,454,432,886
58,583,574,1157
59,503,511,1014
60,495,496,991
61,484,502,986
62,456,517,973
63,524,511,1035
64,486,504,990
65,471,554,1025
66,481,534,1015
67,495,531,1026
68,517,560,1077
69,491,574,1065
70,591,602,1193
71,569,700,1269
72,626,714,1340
73,687,840,1527
74,775,861,1636
75,772,941,1713
76,760,956,1716
77,426,491,917
78,431,502,933
79,504,632,1136
80,441,520,961
81,506,604,1110
82,383,558,941
83,305,470,775
84,234,381,615
85,245,399,644
86,227,357,584
87,234,427,661
88,169,355,524
89,125,324,449
90,115,293,408
91,101,242,343
92,72,219,291
93,43,181,224
94,36,157,193
95,27,123,150
96,22,108,130
97,15,84,99
98,8,38,46
99,4,42,46
100,2,13,15
101,2,18,20
102,2,11,13
103,,7,7
104,,4,4
105,,,
106,,1,1
107,,,
108,,,
109,,,
